IMDB ID,Total Revenue
tt0114709,"$404,265,656"
tt0113497,"$262,821,940"
tt0113228,"$71,518,503"
tt0114885,"$81,452,156"
tt0113041,"$76,594,107"
tt0113277,"$187,436,818"
tt0114319,"$53,696,278"
tt0112302,"$23,920,048"
tt0114576,"$64,350,171"
tt0113189,"$352,194,849"
tt0112346,"$107,879,496"
tt0112896,"$10,772,144"
tt0112453,"$11,349,090"
tt0113987,"$13,681,765"
tt0112760,"$10,017,322"
tt0112641,"$116,112,375"
tt0114388,"$134,582,776"
tt0113101,"$4,257,354"
tt0112281,"$212,385,533"
tt0113845,"$35,431,113"
tt0113161,"$115,101,622"
tt0112722,"$32,051,917"
tt0112401,"$30,303,072"
tt0114168,"$30,862,156"
tt0113627,"$32,029,928"
tt0114057,"$2,844,379"
tt0114011,"$37,591,674"
tt0114117,"$5,269,757"
tt0112682,"$1,781,465"
tt0115012,"$2,086,101"
tt0112792,"$179,519,401"
tt0114746,"$168,839,459"
tt0114952,"$15,054,636"
tt0112431,"$254,134,910"
tt0112637,"$3,242,342"
tt0112818,"$39,363,635"
tt0112286,"$16,015,639"
tt0113442,"$19,474,589"
tt0112697,"$56,631,572"
tt0112749,"$670,727"
tt0114279,"$2,748,518"
tt0112819,"$24,147,179"
tt0114272,"$4,005,941"
tt0113855,"$122,195,920"
tt0114681,"$21,284,514"
tt0113347,"$41,200,020"
tt0114369,"$327,333,559"
tt0114148,"$346,079,773"
tt0114916,"$919,671"
tt0114814,"$23,341,568"
tt0109950,0
tt0113819,"$6,468,498"
tt0110299,0
tt0112499,"$17,736,619"
tt0113158,"$1,110,104"
tt0113541,0
tt0113321,"$17,519,169"
tt0110877,"$21,898,920"
tt0112714,0
tt0113419,"$35,656,131"
tt0116260,"$26,877,589"
tt0113862,"$106,269,971"
tt0116126,"$20,949,601"
tt0118002,"$10,658,278"
tt0115683,"$13,427,615"
tt0116839,"$2,409,225"
tt0114753,"$26,282"
tt0113149,"$1,026,646"
tt0113118,"$28,215,918"
tt0116367,"$25,836,616"
tt0113010,"$11,534,477"
tt0113537,"$718,490"
tt0113828,"$740,048"
tt0115644,"$27,315,527"
tt0115676,"$2,042,530"
tt0114367,"$5,711,695"
tt0113973,"$306,691"
tt0112744,"$868,979"
tt0116731,"$22,754,725"
tt0112445,"$924,940"
tt0114660,"$529,766"
tt0112379,"$4,249,321"
tt0114039,"$2,291,255"
tt0113612,"$801,984"
tt0112365,"$3,414,301"
tt0118158,"$10,292,300"
tt0116151,"$9,871,065"
tt0115697,"$32,417,995"
tt0113972,"$8,175,346"
tt0113490,"$14,381"
tt0117002,"$12,379,402"
tt0114825,"$19,751,736"
tt0115639,"$10,597,759"
tt0115759,"$150,270,147"
tt0113403,"$469,571"
tt0113247,"$301,462"
tt0111173,"$3,061"
tt0113283,"$34,402"
tt0115907,"$20,340,204"
tt0115734,"$560,069"
tt0117102,"$12,825,141"
tt0118040,"$2,821,671"
tt0116483,"$41,205,099"
tt0112579,"$182,016,617"
tt0110251,0
tt0117110,"$34,327,391"
tt0112646,"$28,672"
tt0113276,0
tt0112573,"$213,216,216"
tt0075314,"$28,441,292"
