id,orginal_title_2,year_2,meterScore,meterClass
862,Toy Story,1995,100,certified_fresh
8844,Jumanji,1995,55,rotten
15602,Grumpier Old Men,1995,17,rotten
31357,Waiting to Exhale,1995,56,rotten
11862,Father of the Bride Part II,1995,48,rotten
949,Heat,1995,87,certified_fresh
11860,Sabrina,1995,65,fresh
45325,Tom and Huck,1995,25,rotten
9091,Sudden Death,1995,50,rotten
710,GoldenEye,1995,78,certified_fresh
9087,The American President,1995,91,certified_fresh
12110,Dracula: Dead and Loving It,1995,11,rotten
21032,Balto,1995,54,rotten
10858,Nixon,1995,74,certified_fresh
1408,Cutthroat Island,1995,38,rotten
524,Casino,1995,80,certified_fresh
4584,Sense and Sensibility,1995,97,certified_fresh
5,Four Rooms,1995,-1,-1
9273,Ace Ventura: When Nature Calls,1995,25,rotten
11517,Money Train,1995,22,rotten
8012,Get Shorty,1995,88,certified_fresh
1710,Copycat,1995,78,fresh
9691,Assassins,1995,-1,-1
12665,Powder,1995,50,rotten
451,Leaving Las Vegas,1995,91,certified_fresh
16420,Othello,1995,67,fresh
9263,Now and Then,1995,32,rotten
17015,Persuasion,1995,86,fresh
902,La Cité des Enfants Perdus,1995,-1,-1
37557,摇啊摇，摇到外婆桥,1995,-1,-1
9909,Dangerous Minds,1995,29,rotten
63,Twelve Monkeys,1995,89,certified_fresh
78802,"Guillaumet, les ailes du courage",1996,-1,-1
9598,Babe,1995,97,certified_fresh
47018,Carrington,1995,54,rotten
687,Dead Man Walking,1995,95,certified_fresh
139405,Across the Sea of Time,1995,-2,-2
33689,It Takes Two,1995,8,rotten
9603,Clueless,1995,82,certified_fresh
34615,"Cry, the Beloved Country",1995,85,fresh
31174,Richard III,1995,94,certified_fresh
11443,Dead Presidents,1995,44,rotten
35196,Restoration,1995,-1,-1
9312,Mortal Kombat,1995,48,rotten
577,To Die For,1995,88,certified_fresh
11861,How To Make An American Quilt,1995,61,fresh
807,Se7en,1995,82,certified_fresh
10530,Pocahontas,1995,55,rotten
8391,When Night Is Falling,1995,50,rotten
629,The Usual Suspects,1995,89,certified_fresh
117164,Guardian Angel,1994,-2,-2
11448,Mighty Aphrodite,1995,78,fresh
49133,Lamerica,1994,-1,-1
26441,The Big Green,1995,0,rotten
97406,Georgia,1995,80,fresh
124057,Kids of the Round Table,1997,-1,-1
9089,Home for the Holidays,1995,63,fresh
11010,Il postino,1994,-1,-1
99040,Le confessionnal,1995,-1,-1
11359,The Indian in the Cupboard,1995,73,fresh
17182,Eye for an Eye,1996,8,rotten
2054,Mr. Holland's Opus,1995,75,fresh
10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,31,rotten
19760,Two If by Sea,1996,-1,-1
9536,Bio-Dome,1996,4,rotten
11525,Lawnmower Man 2: Beyond Cyberspace,1996,11,rotten
40628,Two Bits,1995,40,rotten
4482,Gazon maudit,1995,55,rotten
10634,Friday,1995,-1,-1
755,From Dusk Till Dawn,1996,62,fresh
11859,Fair Game,1995,12,rotten
28387,Kicking and Screaming,1995,57,rotten
48750,Les misérables,1995,-1,-1
20927,Bed of Roses,1996,-1,-1
36929,Big Bully,1996,0,rotten
9102,Screamers,1995,-1,-1
124626,Nico Icon,1995,88,fresh
27526,The Crossing Guard,1995,75,fresh
9623,The Juror,1996,18,rotten
46785,بادکنک سفید,1995,-1,-1
400,Things to Do in Denver When You're Dead,1995,33,rotten
880,Antonia,1995,67,fresh
146599,Once Upon a Time... When We Were Colored,1996,-1,-1
188588,Last Summer in the Hamptons,1995,64,fresh
8447,Angels and Insects,1995,71,fresh
10534,White Squall,1996,58,rotten
17414,Dunston Checks In,1996,12,rotten
13997,Black Sheep,1996,28,rotten
2086,Nick of Time,1995,32,rotten
61548,The Journey of August King,1995,-1,-1
9095,Mary Reilly,1996,26,rotten
12158,Vampire in Brooklyn,1995,12,rotten
9283,Beautiful Girls,1996,79,certified_fresh
9208,Broken Arrow,1996,52,rotten
40154,A Midwinter's Tale,1995,-1,-1
406,La Haine,1995,-1,-1
45549,Shopping,1994,-1,-1
63076,Heidi Fleiss: Hollywood Madam,1995,75,fresh
11062,City Hall,1996,56,rotten
13685,Bottle Rocket,1996,85,certified_fresh
47475,Mr. Wrong,1996,7,rotten
2045,Unforgettable,1996,21,rotten
9614,Happy Gilmore,1996,61,fresh
688,The Bridges of Madison County,1995,90,certified_fresh
11907,Keiner liebt mich,1994,-1,-1
10874,Muppet Treasure Island,1996,73,fresh
89333,Catwalk,1995,-1,-1
96357,Headless Body in Topless Bar,1995,-2,-2
197,Braveheart,1995,78,certified_fresh
103,Taxi Driver,1976,96,certified_fresh
33542,紅番區,1995,-1,-1
43566,Before and After,1996,32,rotten
71754,Margaret's Museum,1995,67,fresh
43612,Le Bonheur est dans le pré,1995,-1,-1
51352,Anne Frank Remembered,1995,97,fresh
16934,The Young Poisoner's Handbook,1995,86,fresh
10324,If Lucy Fell,1996,18,rotten
78406,Steal Big Steal Little,1995,15,rotten
55731,Race the Sun,1996,22,rotten
32119,The Boys of St. Vincent,1992,100,fresh
11066,Boomerang,1992,43,rotten
11104,重慶森林,1994,-1,-1
37975,L'uomo delle stelle,1995,75,fresh
2074,Flirting with Disaster,1996,87,certified_fresh
27793,The NeverEnding Story III,1994,-1,-1
44284,صمت القصور,1994,-1,-1
290157,Jupiter's Wife,,-2,-2
1995-01-01,[],,-2,-2
110972,Pie in the Sky,1996,-2,-2
32622,Angela,1995,-1,-1
73067,Frankie Starlight,1995,71,fresh
11863,Jade,1995,14,rotten
55475,Nueba Yol,1995,-1,-1
124636,Sonic Outlaws,1995,-2,-2
9101,Down Periscope,1996,12,rotten
123360,From the Journals of Jean Seberg,1995,-1,-1
5757,Man of the Year,1995,25,rotten
39428,The Neon Bible,1995,-1,-1
124639,Target,1995,-1,-1
9302,Up Close & Personal,1996,31,rotten
11000,The Birdcage,1996,80,certified_fresh
249882,Gospa,1995,-1,-1
16388,The Brothers McMullen,1995,89,fresh
9737,Bad Boys,1995,42,rotten
30765,The Amazing Panda Adventure,1995,20,rotten
10474,The Basketball Diaries,1995,45,rotten
22279,An Awfully Big Adventure,1995,36,rotten
30157,Amateur,1994,-1,-1
568,Apollo 13,1995,96,certified_fresh
11780,Rob Roy,1995,73,fresh
34996,The Addiction,1995,-1,-1
414,Batman Forever,1995,39,rotten
649,Belle de jour,1967,-1,-1
1873,Beyond Rangoon,1995,39,rotten
5894,Blue in the Face,1995,41,rotten
1775,Canadian Bacon,1995,14,rotten
8839,Casper,1995,51,rotten
20649,Clockers,1995,71,fresh
10329,Congo,1995,22,rotten
8963,Crimson Tide,1995,88,certified_fresh
26564,Crumb,1994,-1,-1
8068,Desperado,1995,64,fresh
8512,Devil in a Blue Dress,1995,88,certified_fresh
1572,Die Hard: With a Vengeance,1995,59,rotten
13552,The Doom Generation,1995,47,rotten
259209,Feast of July,1995,67,fresh
6520,First Knight,1995,43,rotten
9073,Free Willy 2 - The Adventure Home,1995,50,rotten
10428,Hackers,1995,33,rotten
17447,Jeffrey,1995,68,fresh
9886,Johnny Mnemonic,1995,12,rotten
9482,Judge Dredd,1995,20,rotten
19326,Jury Duty,1995,0,rotten
9344,Kids,1995,-1,-1
9071,Living in Oblivion,1995,88,fresh
8973,Lord of Illusions,1995,60,fresh
15730,Love & Human Remains,1993,69,fresh
47608,Mad Love,1995,28,rotten
2293,Mallrats,1995,56,rotten
9070,Mighty Morphin Power Rangers: The Movie,1995,37,rotten
68274,Moonlight and Valentino,1995,15,rotten
48787,Mute Witness,1995,83,fresh
34574,Nadja,1994,-1,-1
1642,The Net,1995,41,rotten
11472,Nine Months,1995,26,rotten
36196,Party Girl,1995,78,fresh
11980,The Prophecy,1995,43,rotten
58372,Reckless,1995,14,rotten
32646,Safe,1995,-1,-1
10533,The Scarlet Letter,1995,13,rotten
10802,Showgirls,1995,21,rotten
10149,Smoke,1995,-1,-1
18402,Something to Talk About,1995,39,rotten
9348,Species,1995,43,rotten
139408,The Stars Fell on Henrietta,1995,50,rotten
281,Strange Days,1995,62,fresh
5967,Les parapluies de Cherbourg,1964,99,certified_fresh
79593,The Tie That Binds,1995,8,rotten
47939,Three Wishes,1995,13,rotten
36834,Total Eclipse,1995,25,rotten
9090,"To Wong Foo, Thanks for Everything! Julie Newmar",1995,39,rotten
3512,Under Siege 2: Dark Territory,1995,34,rotten
52856,Unstrung Heroes,1995,74,fresh
77350,Unzipped,1995,80,fresh
9560,A Walk in the Clouds,1995,44,rotten
9804,Waterworld,1995,46,rotten
31611,White Man's Burden,1995,24,rotten
65796,Wild Bill,1995,44,rotten
49805,The Browning Version,1994,78,fresh
